timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1612959848047,992,01.01 /home,200,OK,Thread Group 1-1,text,true,,18564,126,3,3,https://makeyka.herokuapp.com/,991,0,797
1612959848506,542,01.01 /home,200,OK,Thread Group 1-2,text,true,,18564,126,3,3,https://makeyka.herokuapp.com/,538,0,346
1612959847945,992,01. Home,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,18564,126,3,3,null,991,104,797
1612959848505,542,01. Home,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,18564,126,3,3,null,538,3,346
1612959849050,179,02.01 /projects,200,OK,Thread Group 1-1,text,true,,7707,134,3,3,https://makeyka.herokuapp.com/projects,179,0,0
1612959849050,179,02. Projects,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,7707,134,3,3,null,179,1,0
1612959849050,213,02.01 /projects,200,OK,Thread Group 1-2,text,true,,7707,134,3,3,https://makeyka.herokuapp.com/projects,213,0,0
1612959849050,213,02. Projects,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,7707,134,3,3,null,213,1,0
1612959849230,92,03.01 /about,200,OK,Thread Group 1-1,text,true,,7598,131,3,3,https://makeyka.herokuapp.com/about,92,0,0
1612959849230,92,03. About,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,7598,131,3,3,null,92,0,0
1612959849264,104,03.01 /about,200,OK,Thread Group 1-2,text,true,,7598,131,3,3,https://makeyka.herokuapp.com/about,104,0,0
1612959849264,104,03. About,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,7598,131,3,3,null,104,1,0
1612959849322,94,04.01 /cv,200,OK,Thread Group 1-1,text,true,,4843,128,3,3,https://makeyka.herokuapp.com/cv,94,0,0
1612959849322,94,04. CV,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4843,128,3,3,null,94,1,0
