ACCOUNT_NUMBER,SERVICE_ADDRESS_ID
2236832,2362982
2728799,7136533
2611436,6819196
1964905,3611263
1273398,575256
350125,605481
2445227,3101817
1594211,2673336
994061,3527653
2769331,4319079
1540927,3472279
2426653,5770017
2171861,6181767
2603324,4037642
144466,5940255
945721,6637883
1270691,4038889
768163,4105456
663792,2299795
2410037,5594865
746118,1935614
728153,3706729
2329172,6610016
475965,3318574
1780772,5323215
981440,303570
2026743,6163936
2657787,6940288
2722212,1718985
505322,2358934
1081536,4231435
845828,1171632
1479416,1917892
959839,2658066
2254243,1148642
1153395,3603956
1607627,1304002
1200356,3969527
844369,4556884
1478958,6598430
1859223,512599
1159067,1125137
2668263,5160585
2034284,425696
1563132,4374427
1047758,1484649
2690360,7026596
2092633,6298451
1801838,5224324
1394715,4562133
1130682,5195044
2326502,5104679
423309,4308186
1902134,3610417
2091570,861205
2640834,1194100
367174,1922804
2122892,5515492
2549075,6706280
2650396,4139739
2273870,938854
2628654,4798419
538590,369374
175439,4729048
1350731,631517
2611451,2504557
1913173,285024
2658104,6941310
2334798,6163095
807796,3831964
1586584,4272021
829453,827806
1823453,5200337
2031395,1971251
1383728,6877186
472665,1464718
2503384,847495
1687694,3325271
2393038,6197978
1320179,4092330
1244685,4624169
2122380,5252972
789931,7209188
120017,1191569
1852484,1558302
1237416,5635808
1914517,4897886
447299,3789142
1130154,556344
1586632,1201533
413396,963028
807193,3598348
345771,4449526
1069545,1300739
1628925,4378520
915063,5292728
757199,1857222
1517702,2019837
2671318,3102200
2025242,5158368
1405487,1119433
602510,1439888
326993,3109427
1884513,2242985
650018,2972673
1493746,5473762
2370175,4539654
158157,2479091
1808570,1875884
503677,863707
2347114,6797729
2144765,3674258
1838665,7142557
773540,684215
2249687,5193439
611465,5541204
699110,194222
943421,1890155
1962096,801908
530023,1286762
2586637,3303248
1948527,1003106
1055085,2025918
1527726,418498
1424978,1794423
1103288,2628696
195233,916980
1463177,1486757
1224534,4955154
1956042,4973057
2649736,3374457
2018890,5136043
1203896,300997
2512454,6673308
477776,3411993
1732783,289276
2730579,4954148
1874111,1709258
662013,4866112
899794,5448727
1651309,5611567
2633516,1063285
716983,2004873
1374385,801029
437555,1146601
2596461,4526001
2750047,7183394
1752628,6825077
1159546,7107104
1904559,4561149
2354976,1187177
2367283,6630159
2536203,2480537
208257,5133094
831193,3169814
1783442,7138093
280009,4638121
1005460,405280
2048914,1868154
2372105,6615727
641260,1167767
1591711,3291547
1854158,3256636
1947815,1360760
2563851,6733140
590077,5692679
2210827,6671610
2511780,7010808
870793,3914464
1900147,3071046
2419183,6451401
1267518,1342638
702772,4525783
1902692,2106824
50760,2274576
1469472,4252917
1675632,3645148
2579783,5496741
863039,1932752
631398,644882
2472831,1826248
2419438,6947872
2425171,4105729
1834454,3471776
2506123,908432
1886836,1861457
679042,3828998
1883140,2162099
853922,1457852
1337497,1014655
2598429,6514917
844264,4762319
2354878,4481275
2343857,3027431
2495702,6980341
169568,3035680
1992783,5195071
1883300,6864961
1239649,3630039
1088986,250533
749305,1938692
1162687,6718645
1143702,2538875
2300451,1475493
1730388,4586983
1813625,4675620
1226780,3995036
1130774,3896689
1859989,4689668
8830,4209307
564104,5084948
2548035,2424895
1560660,4370586
1182468,4358975
197425,2307752
2185126,1127711
1204380,1171045
2547432,6703907
220313,1822610
2774369,7226896
823868,1130636
2105123,5839552
2012303,1242171
1916761,5414245
1026987,3451168
2568258,4402817
2658341,6941593
1924260,2351335
2219740,1672141
2403812,6421998
2396365,7016638
410130,3153658
549315,792458
2265426,1923442
1852682,1244980
2496969,627625
1943617,1650598
