ACCOUNT_NUMBER,SERVICE_ADDRESS_ID
770598,975571
1276175,4438777
955249,3178415
2564936,6734762
127150,4117698
1289342,4051270
667461,5197744
1874654,2443739
875568,819267
642000,3468566
671397,4282037
167187,5852703
2045638,5215252
185967,1864337
1544112,1834158
351142,3011710
1253097,3308229
1659879,4497174
1758994,4969853
1970187,5008711
556839,2756247
1916229,896778
1578529,1925914
268711,1921652
1845946,3859665
2210197,5857303
283532,3584815
1976615,286704
123843,2588090
1119931,3975907
490700,5137143
783168,3744117
1104252,5090446
1127935,3663422
1124750,5566393
2422616,5914067
1601129,4180452
2076685,3237808
1081251,391356
720481,1899993
466654,4475170
1599681,665244
1185382,861885
898183,329890
1035889,1477344
813723,3123859
2328321,3064324
967847,2671234
2281286,1143669
170288,2348800
787193,2301396
1508412,1956449
177711,4204756
1298837,4066242
2181565,1170081
2152370,3287161
846816,5279123
166666,1902756
904977,3804651
1905455,5678112
2222283,5907285
2120399,3692873
1404030,1889123
1089086,2605083
1718287,4185067
468995,2749585
157892,2283844
826924,1695666
914770,3984649
997064,2354327
626148,1483725
651132,4203564
1045334,5023374
533638,685369
941819,1480804
1936911,5991176
1584345,2091789
2176415,154932
925318,3682405
2070924,5917040
827553,2362517
1248222,2867370
419073,5725299
803330,1197266
1664069,3292710
1919401,6071116
178085,277461
2819947,5731396
173546,1409739
122248,2226511
6103916,6219238
1852086,1207515
897179,1506328
1555796,4363648
764492,595916
1663683,4494170
1653803,4253621
183618,4128630
1074629,1544165
254984,2657055
591084,1286844
2512434,3391770
823968,3606892
492557,1477802
1918831,3155955
643212,846254
2171592,4659925
1536224,4221363
199564,1816979
354866,432687
562699,3400199
1124406,4540662
111982,343099
150858,4056144
1850970,4127882
1774372,2572485
292107,1162326
413401,4911191
2526212,5736908
856105,5777564
330448,4634267
173642,3608925
207214,5823126
2775081,2665592
1953986,4969983
294783,4750936
1233140,1967372
48943,2118302
2291971,1053674
874195,5082857
993492,3624716
1094614,4183932
1005208,831546
1091813,2309664
1027134,5713583
2169587,5713816
131602,2422034
854108,4597437
1760078,4626578
917959,886413
1218443,4047252
639528,1204742
2011506,4283515
1598694,4624709
1803230,1150355
1181131,3777203
2045083,5213382
1934966,4931380
1930280,4636683
157869,3517564
240386,2754931
1904052,2555551
574794,4674940
2212253,5863802
2810129,1058267
51687,2480199
237327,5686347
555188,1927818
710933,5315795
1254927,2780239
1141891,5103033
2131829,5554544
457786,3297171
1008699,5733471
2756878,7195239
761951,3416493
1951900,1530584
1720168,4375451
2178571,1881943
310055,4516384
1482932,3568670
785507,5976952
1249888,1954719
2319611,6170577
1918814,1914354
1583100,4401555
1269337,5447339
2225635,5755151
2206799,5701992
2222647,5908038
1944205,1889127
505146,825980
1328675,2528778
2206798,5372476
829092,5719755
1821970,5368603
2316218,5276657
1015345,3783566
2183677,6535693
1417246,4319569
1251893,3438796
1235359,5864579
1842299,4771162
6476,1168804
2597984,6811756
763563,1279269
533199,2520676
418956,4429170
919205,167966
1091944,2849556
903781,3853916
