Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01.01. /welcome,3276,178,114,333,353,426,86,5462,0.000%,1.81973,9.57,0.63
01.02 /login-messages/promos.html-232,3275,236,247,322,344,2167,60,5024,0.000%,1.81958,6.43,0.88
01. Login Screen,3275,415,383,605,649,2459,150,5747,0.000%,1.81911,15.99,1.51
02.01 Login Details,3231,902,926,1165,1934,3031,458,4250,0.000%,1.79961,16.35,11.14
02.02 /one/one.app-251,3228,878,709,1000,2461,2921,553,6087,0.000%,1.80035,149.55,13.74
02.03 /visualforce/recsession-255,3227,457,331,451,1981,2469,278,6150,0.000%,1.80042,139.81,3.88
/aura?preloadActions-257,3226,383,299,364,604,2099,242,3758,0.000%,1.80021,38.93,3.27
02. Login,3226,2622,2299,4161,4446,5723,1650,9687,0.000%,1.79762,344.13,31.98
/aura?r=0&ui-flexipage-components-page.FlexipageControllerV2.getPage=1-262,3198,244,186,384,423,1983,144,3440,0.000%,1.79588,27.95,3.86
/aura?r=2&ui-force-components-controllers-hostConfig.HostConfig.getConfigData=1-264,3198,136,113,142,170,379,98,2186,0.000%,1.79595,22.97,3.81
/aura?r=1&ui-force-components-controllers-empApi.EmpApi.getEmpConfig=1&ui-global-components-one-consoleLayoutContainer.ConsoleLayout.getConsoleState=2&ui-global-components-one-favorites.Favorites.getFavorites=1&ui-global-components-one-header.Header.getSettings=1&ui-global-components-one-systemMessage.SystemMessage.getSystemMessages=1&ui-notifications-components-notifications-controller.Notifications.getInitializationValues=1-263,3197,199,175,207,232,567,146,2299,0.000%,1.79532,5.58,7.32
/aura?r=3&ui-force-components-controllers-recordGlobalValueProvider.RecordGvp.getRecord=1-266,3197,151,129,160,181,416,111,2106,0.000%,1.79537,3.75,3.99
/cs127/auraCmpDef-265,100,444,446,469,495,515,393,561,0.000%,1.69601,202.68,6.13
/aura?r=4&ui-force-components-controllers-lists-listViewManager.ListViewManager.getMetadataInitialLoad=1-267,3197,206,179,210,232,1858,146,2172,0.000%,1.79585,3.84,4.19
/auraCmpDef-268,3197,108,91,118,154,300,80,2076,0.000%,1.79600,2.82,1.96
/aura?r=5&ui-force-components-controllers-socialPhoto.SocialPhoto.resolvePhotos=1-269,3197,116,95,118,135,320,84,2210,0.000%,1.79607,3.30,3.96
/auraCmpDef-270,3197,114,91,124,151,326,80,2759,0.000%,1.79608,2.43,1.94
/aura?r=6&ui-force-components-controllers-lists-listViewDataManager.ListViewDataManager.getItems=1&ui-force-components-virtualRecordList.VirtualRecordList.getRecordLayoutComponent=1-272,3197,207,172,207,230,1939,148,2825,0.000%,1.79605,10.84,5.37
/aura?r=7&ui-global-components-one-actionsManager.ActionsManager.handleAction=1-273,3197,150,120,146,172,1863,105,2850,0.000%,1.79609,4.02,4.41
/aura?r=8&ui-search-components-forcesearch-sgdp.ScopesCache.getScopeMaps=1-274,3197,149,124,153,173,1391,107,2226,0.000%,1.79609,3.56,3.86
/aura?r=9&ui-liveagent-components-aura-controller.ChatConfig.getChatConfiguration=1&ui-liveagent-components-aura-controller.Status.getStatuses=1-275,3197,155,129,156,183,1339,111,2853,0.000%,1.79607,3.31,4.33
/aura?r=10&ui-liveagent-components-aura-controller.OmniWidget.getDeclineReasons=1&ui-liveagent-components-aura-controller.OmniWidget.getSCRTInfo=1&ui-liveagent-components-aura-controller.OmniWidget.isDeclineReasonEnabled=1-276,3197,185,154,190,214,1867,132,2626,0.000%,1.79617,3.74,4.85
/chat/rest/console-277,100,300,290,312,349,469,281,494,0.000%,1.70838,0.82,0.98
/_nc_external/system/security/session/SessionTimeServlet-278,100,82,80,95,97,125,71,133,0.000%,1.71550,1.60,1.60
