Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01.01 /welcome ,501,5503,326,23489,30992,47667,135,65241,0.000%,.47844,2.53,0.17
01.02 /login-messages/promos.html-16,501,4643,277,18783,30275,38177,76,49634,2.395%,.46411,1.62,0.22
01. Login Form,501,10147,608,43309,61079,79636,211,100296,2.395%,.46382,4.08,0.38
02.01 /login-details,498,12547,1002,43774,56586,120389,854,329571,0.402%,.35923,3.27,2.23
02. Login,498,12547,1002,43774,56586,120389,854,329571,0.402%,.35923,3.27,2.23
03.01 /one/one.app-46,487,15696,790,41965,62029,302537,84,336404,2.464%,.35120,28.51,2.64
03.02 /_slds/fonts/v2.3.0/SalesforceSans-Regular.woff2-56,100,78,73,78,81,305,70,312,0.000%,1.73497,47.65,2.76
03.03 /aura?preloadActions-55,481,2065,392,3265,15059,26312,20,32849,2.495%,.34735,7.35,0.62
03.04 /aura?r=0&ui-flexipage-components-page.FlexipageControllerV2.getPage=1-59,475,1189,250,3051,3311,15042,79,26298,1.263%,.34399,5.29,0.74
03.05 /aura?r=2&ui-force-components-controllers-hostConfig.HostConfig.getConfigData=1-62,475,2012,188,3043,3402,18302,62,245492,1.474%,.34321,4.50,0.72
03.06 /aura?r=1&ui-force-components-controllers-empApi.EmpApi.getEmpConfig=1&ui-global-components-one-consoleLayoutContainer.ConsoleLayout.getConsoleState=2&ui-global-components-one-favorites.Favorites.getFavorites=1&ui-global-components-one-header.Header.getSettings=1&ui-global-components-one-systemMessage.SystemMessage.getSystemMessages=1&ui-notifications-components-notifications-controller.Notifications.getInitializationValues=1-61,473,1101,253,3041,3209,17748,13,29459,1.480%,.34181,1.05,1.39
03.07 /auraCmpDef-63,472,712,91,2760,3230,12019,33,26735,1.271%,.34121,0.60,0.40
03.08 /auraCmpDef-65,466,640,92,2951,3284,5910,6,11835,0.644%,.33702,1.09,0.42
