,,,,,,Reponse time in milliseconds,,,,,,
,,,,,,,,,,,,
Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/welcome ,30,336,324,362,370,506,311,506,0.00%,0.11229,0.59,0.04
/login-messages/promos.html-16,30,286,278,310,325,347,269,347,0.00%,0.11235,0.4,0.05
01. Login Form,30,622,610,672,672,784,589,784,0.00%,0.11216,0.99,0.09
/login-details,30,972,949,1031,1054,1296,908,1296,0.00%,0.11209,1.02,0.69
02. Login,30,972,949,1031,1054,1296,908,1296,0.00%,0.11209,1.02,0.69
/one/one.app-46,30,787,703,979,983,1050,643,1050,0.00%,0.11234,9.34,0.86
/_slds/fonts/v2.3.0/SalesforceSans-Regular.woff2-56,10,75,74,80,80,89,70,89,0.00%,1.18078,32.43,1.88
/aura?preloadActions-55,30,324,316,375,380,456,271,456,0.00%,0.11266,2.38,0.2
/aura?r=0&ui-flexipage-components-page.FlexipageControllerV2.getPage=1-59,30,174,171,192,194,220,154,220,0.00%,0.11275,1.72,0.24
/aura?r=2&ui-force-components-controllers-hostConfig.HostConfig.getConfigData=1-62,30,115,113,119,123,155,106,155,0.00%,0.11278,1.5,0.24
/aura?r=1&ui-force-components-controllers-empApi.EmpApi.getEmpConfig=1&ui-global-components-one-consoleLayoutContainer.ConsoleLayout.getConsoleState=2&ui-global-components-one-favorites.Favorites.getFavorites=1&ui-global-components-one-header.Header.getSettings=1&ui-global-components-one-systemMessage.SystemMessage.getSystemMessages=1&ui-notifications-components-notifications-controller.Notifications.getInitializationValues=1-61,30,188,174,195,203,485,162,485,0.00%,0.11276,0.35,0.46
/auraCmpDef-63,30,189,91,369,401,436,84,436,0.00%,0.11279,0.22,0.14
/auraCmpDef-65,30,123,93,162,171,385,84,385,0.00%,0.11294,0.47,0.15
/aura?r=3&ui-force-components-controllers-lists-listViewManager.ListViewManager.getMetadataInitialLoad=1-64,30,202,193,226,246,355,168,355,0.00%,0.11292,0.24,0.26
/aura?r=4&ui-liveagent-components-aura-controller.ChatConfig.getChatConfiguration=1&ui-liveagent-components-aura-controller.Status.getStatuses=1-67,30,136,133,150,163,219,117,219,0.00%,0.11295,0.21,0.27
/aura?r=5&ui-liveagent-components-aura-controller.OmniWidget.getDeclineReasons=1&ui-liveagent-components-aura-controller.OmniWidget.getSCRTInfo=1&ui-liveagent-components-aura-controller.OmniWidget.isDeclineReasonEnabled=1-68,30,171,158,197,204,420,141,420,0.00%,0.11292,0.23,0.31
/aura?r=6&ui-force-components-controllers-recordGlobalValueProvider.RecordGvp.getRecord=1-69,30,141,132,141,168,416,116,416,0.00%,0.11295,0.24,0.25
/aura?r=7&ui-force-components-controllers-lists-listViewDataManager.ListViewDataManager.getItems=1&ui-force-components-virtualRecordList.VirtualRecordList.getRecordLayoutComponent=1-70,30,173,172,187,188,200,150,200,0.00%,0.11294,0.56,0.34
/aura?r=8&ui-global-components-one-actionsManager.ActionsManager.handleAction=1-71,30,124,123,132,133,141,110,141,0.00%,0.11296,0.25,0.28
/aura?r=9&ui-search-components-forcesearch-sgdp.ScopesCache.getScopeMaps=1-72,30,136,124,144,153,430,113,430,0.00%,0.11297,0.22,0.24
/aura?r=10&ui-force-components-controllers-socialPhoto.SocialPhoto.resolvePhotos=1-73,30,96,96,103,104,116,87,116,0.00%,0.11299,0.21,0.25
/_nc_external/system/security/session/SessionTimeServlet-74,10,85,82,91,91,116,78,116,0.00%,1.20788,1.13,1.13
/aura?r=15&ui-setup-components-aura-components-gear.Gear.getPermissions=1-79,30,98,97,104,107,110,91,110,0.00%,0.11302,0.2,0.24
/aura?r=14&ui-setup-components-aura-components-gear.Gear.getGearSetupApps=1-77,30,133,127,149,167,195,117,195,0.00%,0.11301,0.21,0.24
/aura?r=11&ui-force-components-controllers-defenseHook.DefenseHook.getDefenseHook=1&ui-global-components-one-globalCreate.GlobalCreate.getDockableActionsList=1&ui-global-components-one-onboardingManager.OnboardingManager.getPayload=1&ui-global-components-one-unsupportedContainer.UnsupportedContainer.getSettings=1&ui-global-components-one-userProfileCard.UserProfileCard.loadProfileCardInfo=1&ui-identity-components-sessiontimeoutwarn.SessionTimeoutWarn.getSessionTimeoutConfig=1&ui-notifications-components-notifications-controller.Notifications.getNotifications=1&ui-rtc-components-aura-components.RtcDiscoveryBanner.getConfig=1&ui-search-components-forcesearch-sgdp.PermsAndPrefsCache.getPermsAndPrefs=1&ui-support-components-crossFrameApiManager.CrossFrameApiManager.getIsLightningOpenCtiUser=1-75,30,154,151,164,183,217,133,217,0.00%,0.11302,0.26,0.61
/auraCmpDef-80,30,172,94,343,346,367,84,367,0.00%,0.11305,6.02,0.14
