,,,,,,Response time in milliseconds,,,,,,
,,,,,,,,,,,,
Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01.01 /welcome ,525,8508,339,25868,38668,71875,300,251396,0.76%,0.29066,1.53,0.1
01.02 /login-messages/promos.html-16,520,8082,301,23393,39540,85292,256,213395,5.39%,0.28863,1,0.13
01. Login Form,520,16555,645,60893,83445,227013,558,264679,6.15%,0.28854,2.52,0.23
02.01 /login-details,513,22439,1016,63821,134177,282914,874,332246,2.73%,0.28404,2.64,1.8
02. Login,513,22439,1016,63821,134177,282914,874,332246,2.73%,0.28404,2.64,1.8
03.01 /one/one.app-46,495,22982,870,67897,166772,264538,609,307487,4.65%,0.27425,21.79,2.03
03.02 /_slds/fonts/v2.3.0/SalesforceSans-Regular.woff2-56,100,74,73,79,80,84,70,86,0.00%,1.72563,47.39,2.74
03.03 /aura?preloadActions-55,492,4394,333,6625,16623,71890,256,178419,5.49%,0.27615,5.55,0.49
03.04 /aura?r=0&ui-flexipage-components-page.FlexipageControllerV2.getPage=1-59,492,2186,181,3569,6934,22501,74,174821,4.27%,0.27575,4.11,0.58
03.05 /aura?r=2&ui-force-components-controllers-hostConfig.HostConfig.getConfigData=1-62,492,2039,118,3563,6152,28369,74,138324,4.47%,0.27533,3.5,0.57
03.06 /aura?r=1&ui-force-components-controllers-empApi.EmpApi.getEmpConfig=1&ui-global-components-one-consoleLayoutContainer.ConsoleLayout.getConsoleState=2&ui-global-components-one-favorites.Favorites.getFavorites=1&ui-global-components-one-header.Header.getSettings=1&ui-global-components-one-systemMessage.SystemMessage.getSystemMessages=1&ui-notifications-components-notifications-controller.Notifications.getInitializationValues=1-61,492,2313,188,3639,6522,37691,75,156574,4.88%,0.27485,0.83,1.11
03.07 /auraCmpDef-63,491,2391,121,3551,7077,41012,82,166678,0.41%,0.27381,0.48,0.33
03.08 /auraCmpDef-65,491,2030,108,3723,6531,26414,83,129112,0.00%,0.27327,0.93,0.34
03.09 /aura?r=3&ui-force-components-controllers-lists-listViewManager.ListViewManager.getMetadataInitialLoad=1-64,490,1848,191,3378,3799,21504,73,123276,4.29%,0.29722,0.62,0.69
03.10 /aura?r=4&ui-liveagent-components-aura-controller.ChatConfig.getChatConfiguration=1&ui-liveagent-components-aura-controller.Status.getStatuses=1-67,490,1716,133,3361,6275,22005,75,77814,4.49%,0.29649,0.54,0.71
03.11 /aura?r=5&ui-liveagent-components-aura-controller.OmniWidget.getDeclineReasons=1&ui-liveagent-components-aura-controller.OmniWidget.getSCRTInfo=1&ui-liveagent-components-aura-controller.OmniWidget.isDeclineReasonEnabled=1-68,490,1963,162,3505,6327,29366,81,117079,4.69%,0.29585,0.6,0.79
03.12 /aura?r=6&ui-force-components-controllers-recordGlobalValueProvider.RecordGvp.getRecord=1-69,490,2311,134,3385,6170,36235,76,216365,4.90%,0.29515,0.61,0.64
03.13 /aura?r=7&ui-force-components-controllers-lists-listViewDataManager.ListViewDataManager.getItems=1&ui-force-components-virtualRecordList.VirtualRecordList.getRecordLayoutComponent=1-70,490,2054,180,3558,6130,27024,95,84493,4.49%,0.29453,1.65,0.87
03.14 /aura?r=8&ui-global-components-one-actionsManager.ActionsManager.handleAction=1-71,490,2056,125,3896,8955,27751,75,61189,4.29%,0.28747,0.63,0.7
03.15 /aura?r=9&ui-search-components-forcesearch-sgdp.ScopesCache.getScopeMaps=1-72,490,1995,128,3658,6655,28528,74,102380,4.49%,0.28596,0.56,0.61
03.16 /aura?r=10&ui-force-components-controllers-socialPhoto.SocialPhoto.resolvePhotos=1-73,490,1951,99,3728,8930,32043,75,62658,4.29%,0.28549,0.52,0.62
03.17 /_nc_external/system/security/session/SessionTimeServlet-74,100,83,81,87,93,122,73,212,0.00%,1.72945,1.62,1.62
03.18 /aura?r=15&ui-setup-components-aura-components-gear.Gear.getPermissions=1-79,490,2270,99,3844,9749,32151,74,108155,4.69%,0.28503,0.5,0.59
03.19 /aura?r=14&ui-setup-components-aura-components-gear.Gear.getGearSetupApps=1-77,490,1855,129,3711,6648,18971,73,75419,4.29%,0.28458,0.52,0.6
