Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec,,
Soap Request,1307,12719,9208,30025,38789,71171,187,75107,0.84%,8.29446,7.22,22.88,,
TOTAL,1307,12719,9208,30025,38789,71171,187,75107,0.84%,8.29446,7.22,22.88,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1.58E+12,12003,Soap Request,200,OK,Number of Users 1-185,TRUE,,874,162,162,12003,1,0,WebLoad1
1.58E+12,12285,Soap Request,200,OK,Number of Users 1-129,TRUE,,874,162,162,12285,1,0,WebLoad1
1.58E+12,12294,Soap Request,200,OK,Number of Users 1-89,TRUE,,874,162,162,12294,1,0,WebLoad1
1.58E+12,12542,Soap Request,200,OK,Number of Users 1-184,TRUE,,874,162,162,12542,1,0,WebLoad1
1.58E+12,16064,Soap Request,200,OK,Number of Users 1-177,TRUE,,874,162,162,16064,1,0,WebLoad1
1.58E+12,12450,Soap Request,200,OK,Number of Users 1-125,TRUE,,874,162,162,12450,1,0,WebLoad1
1.58E+12,11615,Soap Request,200,OK,Number of Users 1-186,TRUE,,874,162,162,11615,1,0,WebLoad1
1.58E+12,12022,Soap Request,200,OK,Number of Users 1-91,TRUE,,880,167,167,12022,1,0,WebLoad1
1.58E+12,21016,Soap Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 10.10.123.6:8011 [/10.10.123.6] failed: Connection timed out: connect,Number of Users 1-119,FALSE,,2713,174,174,0,1,1,WebLoad1
1.58E+12,21016,Soap Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 10.10.123.6:8011 [/10.10.123.6] failed: Connection timed out: connect,Number of Users 1-121,FALSE,,2713,174,174,0,1,1,WebLoad1
1.58E+12,21013,Soap Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 10.10.123.6:8011 [/10.10.123.6] failed: Connection timed out: connect,Number of Users 1-183,FALSE,,2713,178,178,0,1,1,WebLoad1
1.58E+12,23572,Soap Request,200,OK,Number of Users 1-171,TRUE,,874,189,189,23572,1,0,WebLoad1
1.58E+12,23043,Soap Request,200,OK,Number of Users 1-92,TRUE,,874,189,189,23043,1,0,WebLoad1
1.58E+12,22997,Soap Request,200,OK,Number of Users 1-102,TRUE,,880,189,189,22997,1,0,WebLoad1
1.58E+12,23052,Soap Request,200,OK,Number of Users 1-133,TRUE,,874,189,189,23052,1,0,WebLoad1
